,post_text,label
138,,Not Depressed
139,know dont crochet tipsi angri sad mani extrem crochet dont mix,Not Depressed
140,feel emot drain time easi stress free even crochet penguin madagascar ,Not Depressed
141, richardbranson read wonder blog eleph conserv zimbabw  worldelephantday ,Not Depressed
142, richardbranson read wonder blog eleph conserv zimbabw  worldelephantday ,Not Depressed
143, astronautabbi  rt astroluca arriv queensland welcom rivet color natur australia ,Not Depressed
144, bbccamb aboard aquat combin harvest weed camb waterway   dottymcl  ,Not Depressed
145,yep ,Not Depressed
146,big hoggl supper tonight he magic littl beasti  ,Not Depressed
147, rspcaoffici marley amp zena dogrescu look fab rescu owner let almost starv own dog priv,Not Depressed
148, protectwldlif inde ,Not Depressed
149,magic sky tonight chang second nofilt ,Not Depressed
150,beauti sky tonight nofilt ,Not Depressed
151,rare tuesday treat dinner comfortfood ,Not Depressed
152,bought today cant decid super organis waaay earli ,Not Depressed
153,lilypebbl sorri hear lili pet famili heartbreak die dixi love life x,Not Depressed
154,must rememb ,Not Depressed
155,gorilla amaz reaction reunit man took care  year ,Not Depressed
156, designtaxi test eye play fastpac colormatch game  ,Not Depressed
157,score  point kolor game guess color score high,Not Depressed
158,awak mind race need sleep dammit  insomnia,Not Depressed
159,squar  done crochet crochetblanket ,Not Depressed
160,thecandourist glad see surviv brutal desert stay strong safe,Not Depressed
161,ive rememb new hous  rang cooker whoop look forward road test ,Not Depressed
162,squar   laci crochet  pale blue dk yarn crochet crochetblanket ,Not Depressed
163, squar made crochet crochet ,Not Depressed
164, cambridgenewsuk look around milton countri park weve found prettiest spot  ,Not Depressed
165, twistedthread happi sunday borntosew ,Not Depressed
166,deckchair sun what love  catsoftwitt ,Not Depressed
167,watch pitch perfect  pat benatar  belong ,Not Depressed
168,natali imbruglia,Not Depressed
169,two hoggl dinner far tonight hedgehog ,Not Depressed
170, bhcitynew brighton student chosen exhibit alongsid hogarth reynold nation portrait galleri ,Not Depressed
171, beauti kitti,Not Depressed
172,viviannamakeup love kitchen,Not Depressed
173, cambridgenewsuk  fun thing cambridgeshir septemb  ,Not Depressed
174,see  worldcatday ,Not Depressed
175, dogstrust pup cant cuddl due horribl skin infect dtessex provid tlc  ,Not Depressed
176,chair mine worldcatday ,Not Depressed
177, cambridgenewsuk cambridgeshir cook book  ,Not Depressed
178, cambridgenewsuk alevel predict grade wrong cambridg assess find ,Not Depressed
179,might complet hous time next week whoop ,Not Depressed
180,mrbenbrown watch amp steve get tat look painless want ,Not Depressed
181,keep compani work  worldcatday catsprotect ,Not Depressed
182,happi littl dog   rose play balloon  via youtub,Not Depressed
183, snuffli hedgehog dinner even ,Not Depressed
184,poor babi  ,Not Depressed
185,oh wrong peopl   ,Not Depressed
186,estat agent offici piss,Not Depressed
187, bbccamb woman  assault walk home peterborough  appeal cambscop ,Not Depressed
188, richardbranson big game anim worth aliv dead  ,Not Depressed
189,donkeysanctuari mention time fastest grow farm attract love yay donkey  ,Not Depressed
190,school there traffic morn feel realli odd,Not Depressed
191,squar  complet trebl bobbl crochet ,Not Depressed
192, protectwldlif pleas rt massiv thank kind soul look orphan rhino horn trade insafehand htt,Not Depressed
193, protectwldlif scare babi eleph rapa cri save drown  mani thank dswt team ,Not Depressed
194,river cam still fill joy  ,Not Depressed
195,beauti even gentl walk home ,Not Depressed
196,yaay grantchest  ,Not Depressed
197, bu driver actual wait elderli passeng sit start drive arent nice,Not Depressed
198,rip georg minder star georg cole die  ,Not Depressed
199,poffi alway take time hectic schedul sleep amp eat give buddi quick wash  ,Not Depressed
200,tri new stitch bit uneven  test attempt  crochet ,Not Depressed
201, rspcaoffici rt heartwiltsnew kitten found car tow  mile swindon  heartnew ,Not Depressed
202,boy front beard reek lager got child bu fare mysteri ,Not Depressed
203,im step closer toward contract sign complet hous excit time ,Not Depressed
204,disgust hope catch person  ,Not Depressed
205, twistedthread minion fan pattern  sew felt ,Not Depressed
206,catsprotect one girl best sleep  whiskerswednesday ,Not Depressed
207,wish foreign languag school cambridg would teach student manner ,Not Depressed
208,bad night sleep weird anxieti dream left feel anyth refresh ,Not Depressed
209,thecandourist fantast first vlog emot beauti film good luck epic ride ,Not Depressed
210,,Not Depressed
211,tuesday morn ,Not Depressed
212,random song pop head midnight train georgia idea ,Not Depressed
213,life may seem perfect outsid world motivationalquot ,Not Depressed
214, rickygervai seriou note im incred proud unifi compass condemn anim abus,Not Depressed
215,there noth delici come home take work cloth ,Not Depressed
216,talk  tv show afternoon brought mention talk aspidistra rememb ,Not Depressed
217,appeal identifi suspect homophob assault train back london brighton pride ,Not Depressed
218,retro sweet monday  ,Not Depressed
219, designtaxi makeup artist paint wonder whimsic scene ador cat eyelid  ,Not Depressed
220, folksi feel overwhelm  craft busi advic  time manag tip   ,Not Depressed
221, designtaxi know catlov friend would love patch  ,Not Depressed
222, craftsbeauti yarnbomb come coron street  ,Not Depressed
223,monday im come get ya positiveaffirm ,Not Depressed
224,rememb ,Not Depressed
225,pre mondayanxieti anxieti suck ,Not Depressed
226,wonder  ,Not Depressed
227,holywel river front ,Not Depressed
228,sunday lunch old ferryboat inn ,Not Depressed
229,rip cilla cilla black die age   via telegraph ,Not Depressed
230,bangl  etern flame  ,Not Depressed
231,soooo sleepi  saturday night ,Not Depressed
232,first crochet flower ,Not Depressed
233,funni song transport time place remind someon caus physic jolt chang moment instantli,Not Depressed
234,went hobbycraft black button sever ball wool amp needl felt kit later ,Not Depressed
235,mash avocado toast breakfast champion  ,Not Depressed
236, richardbranson protect endang speci one import thing us  ,Not Depressed
237, tear fear  head heel ,Not Depressed
238,mum surgeri seem fine overnight hospit home tomorrow ,Not Depressed
239,new crochet project make red poppi sell british legion first flower ive ever made ,Not Depressed
240,vile subhuman ,Not Depressed
241,good home happi final friday work ,Not Depressed
242, rspcaoffici would know cat poison see symptom amp advic  h,Not Depressed
243,depress ill ,Not Depressed
244,search therapist meet weekend ,Not Depressed
245, ladi mental health road map mental well ,Not Depressed
246,want teen practic safe sex parent ,Not Depressed
247,untreat mental ill leav  dead mentalil ,Not Depressed
248,stereotyp teen undermin parent ,Not Depressed
249,love one crisi ,Not Depressed
250,parent mental ill mentalil ,Not Depressed
251,recoveri addict impact famili ,Not Depressed
252,heroin death surg ,Not Depressed
253,rais narcissist ,Not Depressed
254,top  relationship deal breaker ,Not Depressed
255,cbt winter blue ,Not Depressed
256,decis marriag ,Not Depressed
257,mental suffer like ill mentalil ,Not Depressed
258, wound veteran suffer ptsd ,Not Depressed
259,stress tire rush famili ,Not Depressed
260,client therapist relationship ,Not Depressed
261,what traumat birth ,Not Depressed
262,us therapist gener ,Not Depressed
263,addict crisi us ,Not Depressed
264,could jewelri help prevent sexual assault ,Not Depressed
265,gonorrhea becom resist  std ,Not Depressed
266,parent sex talk children ,Not Depressed
267,subtl suicid ,Not Depressed
268,halloween traumat children ,Not Depressed
269,colleg student alcohol disord ,Not Depressed
270,white men die suicid substanc abus ,Not Depressed
271,sex coupl fertil benefit ,Not Depressed
272,march eat disord washington ,Not Depressed
273,anorex woman weigh  pound ,Not Depressed
274,love women anxieti ,Not Depressed
275,mind workplac ,Not Depressed
276,teach children selfadvoc parent ,Not Depressed
277,children inherit anxieti ,Not Depressed
278,children selfesteem ,Not Depressed
279,happen tri prevent everi suicid ,Not Depressed
280,deal mental health issu work mentalhealth ,Not Depressed
281,peer support break stigma ,Not Depressed
282,teen selfharm bulli sext ,Not Depressed
283,limit video game time help manag adhd ,Not Depressed
284,stop child abus ,Not Depressed
285,need weekend counsel appoint ct ,Not Depressed
286,know sign child neglect ,Not Depressed
287,love person mental ill mentalil ,Not Depressed
288,messag mental ill worldwid mentalil ,Not Depressed
289,accept emot accept ,Not Depressed
290,need therapist accept huski insur ct ,Not Depressed
291,side effect antidepress ,Not Depressed
292,think sad may depress ,Not Depressed
293,mental health academ life mentalhealth ,Not Depressed
294,come stress women wors ,Not Depressed
295,poor parent children behavior problem ,Not Depressed
296,date site connect std  increas ,Not Depressed
297,search counselor meet weekend ,Not Depressed
298,subtl sign depress ,Not Depressed
299,men account  suicid  ,Not Depressed
300,account mental health stress ,Not Depressed
301,anoth way counter anxieti ,Not Depressed
302,legal prostitut lead traffick ,Not Depressed
303,thing shouldnt affair ,Not Depressed
304,earli life stress lead depress later ,Not Depressed
305,marriag good health ,Not Depressed
306,struggl need perfect ,Not Depressed
307,birth control impact marriag ,Not Depressed
308,senior cope depress ,Not Depressed
309,make sens depress ,Not Depressed
310,stress effect health ,Not Depressed
311,black men mental ill mentalil ,Not Depressed
312,understand anxieti men ,Not Depressed
313,mental ill left behind mentalilln ,Not Depressed
314,tackl feel resent ,Not Depressed
315,myth undermin addict recoveri ,Not Depressed
316,mani peopl know cocain problem addict ,Not Depressed
317,children pot addict ,Not Depressed
318,ptsd flood ,Not Depressed
319,volunt improv mental health ,Not Depressed
320,take care work ,Not Depressed
321,revers childhood obes ,Not Depressed
322,dont take children ,Not Depressed
323,refus treatment bipolar disord ,Not Depressed
324,doctor vaccin ,Not Depressed
325,spotlight prescript drug abus ,Not Depressed
326,adhd aint daddi home disord ,Not Depressed
327,next time notic feel someon smile mind ,Not Depressed
328,screen children depress physic exam ,Not Depressed
329,genet mutat caus half autism ,Not Depressed
330,job impact mental health ,Not Depressed
331,australian mental health system broken ,Not Depressed
332,scholar question adhd even exist ,Not Depressed
333,children go chiropractor ,Not Depressed
334,know bipolar disord ,Not Depressed
335,kid screen electron addict ,Not Depressed
336,increas adhd medic use ,Not Depressed
337,older women still enjoy sex ,Not Depressed
338,anyon express concern much worri anxieti ,Not Depressed
339,love addict mean ,Not Depressed
340,talk best therapi ,Not Depressed
341,colleg kid alcohol ,Not Depressed
342,get teacher mental health train ,Not Depressed
343,peopl recoveri need support ,Not Depressed
344,tell date men past relationship date ,Not Depressed
345,real men dont get depress stereotyp ,Not Depressed
346,worst habit mental health ,Not Depressed
347,tip overcom depress ,Not Depressed
348,differ parent style ,Not Depressed
349,link matern leav mental health ,Not Depressed
350,savor posit emot ,Not Depressed
351,suicid survivor point view ,Not Depressed
352,increas fund youth mental health substanc abus prevent ,Not Depressed
353,daili admiss selfharm ,Not Depressed
354,sign mental strength resili ,Not Depressed
355,question sex addict ,Not Depressed
356,women greater risk ptsd men ,Not Depressed
357,want improv relationship ,Not Depressed
358,men anxieti depress ,Not Depressed
359,teen prescript drug use ,Not Depressed
360,child becom bulli ,Not Depressed
361,men biolog clock ,Not Depressed
362,drug prevent tip youth ,Not Depressed
363,look therapist connecticut see weekend ,Not Depressed
364,ever suspect someon experienc ptsd ,Not Depressed
365,realli help make homework less stress children ,Not Depressed
366,use ecigarett nicotin addict ,Not Depressed
367,toxic workspac mentalhealth ,Not Depressed
368,mental health treatment er mentalil ,Not Depressed
369,video game help manag adhd ,Not Depressed
370,post partum depress look like ,Not Depressed
371,deal aggress children ,Not Depressed
372,keep poor children school ,Not Depressed
373,know shyness ,Not Depressed
374,mean peopl success counsel ,Not Depressed
375,children sexual inappropri behavior ,Not Depressed
376,ever feel empti ,Not Depressed
377,talk kid colleg parent stress ,Not Depressed
378,kid toddler depress ,Not Depressed
379,help teen peer pressur parent ,Not Depressed
380,deal fetal alcohol syndrom parent ,Not Depressed
381,vitamin improv sleep ,Not Depressed
382,parent  year old parent ,Not Depressed
383,use employ mental health screen tool mentalhealth ,Not Depressed
384,consequ make threat suicid ,Not Depressed
385,marri dissatisfi marriag ,Not Depressed
386,power effect gratitud ,Not Depressed
387,vegetarian diet good ,Not Depressed
388,oxytocin help autism ,Not Depressed
389,date divorc ,Not Depressed
390,gender bia come express anger ,Not Depressed
391,psych med use studi aid medic ,Not Depressed
392,colleg minor substanc abus addict ,Not Depressed
393,colleg minor substanc abus addict ,Not Depressed
394,peopl mental ill need listen mentalil ,Not Depressed
395,age young medic anxieti toddler ,Not Depressed
396,paid sick day mental health reason mentalhealth ,Not Depressed
397,domest violenc victim take control back women ,Not Depressed
398,question ad parent magazin ,Not Depressed
399,struggl parent teen ,Not Depressed
400,consid control parent parent ,Not Depressed
401,strategi bipolar disord ,Not Depressed
402,obsess food ocd ,Not Depressed
403,concern child play footbal helmet helmet contact concuss ,Not Depressed
404,childhood advers chang brain ,Not Depressed
405,think mental ill women target abus mentalil ,Not Depressed
406,ever thought alcohol ad harm teen ,Not Depressed
407,think much social media harm kid ,Not Depressed
408,borderlin person help job ,Not Depressed
409,would like see mental health taught school mentalhealth ,Not Depressed
410,partner diagnos borderlin person disord ,Not Depressed
411,american teen reckless teen elsewher ,Not Depressed
412,ever thought depress complex simpl mental health screen ,Not Depressed
413,music impact thought feel ,Not Depressed
414,mani peopl toxic friend unawar friend toxic well relationship ,Not Depressed
415,mani parent would know child diagnos depress ,Not Depressed
416,afford therapist one barrier get help need ,Not Depressed
417,reason plan address addict problem ,Not Depressed
418,ever wonder  mental ill could impact insur coverag mentalil ,Not Depressed
419,ever wonder whether parent see role modelspar ,Not Depressed
420,inform teen alcohol use ,Not Depressed
421,ever want ask someon  bisexu ,Not Depressed
422,self accept lead growth ,Not Depressed
423,keep blue away healthi diet healthyeat ,Not Depressed
424,marriag harm children ,Not Depressed
425,myth age ,Not Depressed
426,anxieti children ,Not Depressed
427,older coupl  attun ,Not Depressed
428,celebreti depress ,Not Depressed
429,adhd  common problem ,Not Depressed
430,mental health  mentalhealth ,Not Depressed
431,gift give selfcar ,Not Depressed
432,selfcar checkin ,Not Depressed
433,trauma bond ,Not Depressed
434,make transit high school colleg mentalhealth ,Not Depressed
435,person belief get way heal counsel ,Not Depressed
436,rise mental health detent mentalhealth ,Not Depressed
437,unit nation review mental health mental health ,Not Depressed
438,colleg resourc mental health improv mentalhealth ,Not Depressed
439,time chang therapist therapi counsel ,Not Depressed
440,vega treat mental ill mentalil homeless ,Not Depressed
441,abolish death penalti law polit deathpenalti ,Not Depressed
442,lawyer access sexual assault record ,Not Depressed
443,unhappi work happi ,Not Depressed
444,top thing psychiatr practition rememb ,Not Depressed
445,anxieti disord prevent children ,Not Depressed
446,messag provok fear chang attitud ,Not Depressed
447,earli intervent chang natur schizophrenia ,Not Depressed
448,talk children addict ,Not Depressed
449,new theori origin depress ,Not Depressed
450,psycholog trick bad leader use ,Not Depressed
451,kid tire stress  bore ,Not Depressed
452,much sleep need ,Not Depressed
453,avoid stress may answer ,Not Depressed
454,foster children like diagnos adhd ,Not Depressed
455,garden therapi help women return work ,Not Depressed
456,profil pedophil ,Not Depressed
457,sign teen may suffer anxieti ,Not Depressed
458,pain killer pill addict epidem ,Not Depressed
459,may miss dismiss someon drunk alcohol ,Not Depressed
460,hard find mental health profession ,Not Depressed
461,employ need offer mental health day ,Not Depressed
462,reason join support group ,Not Depressed
463,tip rais boy adhd ,Not Depressed
464,help homeless peopl shower ,Not Depressed
465,plan tackl addict ,Not Depressed
466,anoth kind abus ,Not Depressed
467,black american kill  time rate peopl develop countri violenc ,Not Depressed
468,buprenorphin opiat addict treatment ,Not Depressed
469,sign nervou breakdown mentalhealth ,Not Depressed
470,third trip psychiatr facil ,Not Depressed
471,improv marriag gratitud ,Not Depressed
472,help griev teen ,Not Depressed
473,myth adhd ,Not Depressed
474,tell love one mental ill mentalil ,Not Depressed
475,everi famili access mental healthcar mentalhealth ,Not Depressed
476,campu suicid rate rise ,Not Depressed
477,triangul ,Not Depressed
478,deadli consequ fat shame emot abus ,Not Depressed
479,subconsci resist chang ,Not Depressed
480,support love one mental ill mentalil ,Not Depressed
481,minim substanc abus addict ,Not Depressed
482,increas awar lessen obes  ,Not Depressed
483, myth compasss ,Not Depressed
484,recoveri depend hope ,Not Depressed
485,grant new mental health clinic mentalhealth ,Not Depressed
486,toxic describ mental ill perman mentalil ,Not Depressed
487,histori bisexu ,Not Depressed
488,embrac god transgend peopl ,Not Depressed
489,sex women spend time children ,Not Depressed
490,take children ,Not Depressed
491,mental ill invis counsel ,Not Depressed
492,calm anxieti ,Not Depressed
493,smoke drink pregnanc ,Not Depressed
494,treat mental ill physic ill mentalilln ,Not Depressed
495,borderlin person disord wound ,Not Depressed
496,access mental health vari state state mentalhealth ,Not Depressed
497,young black depress ,Not Depressed
498,myth addict ,Not Depressed
499,public hous drug test ,Not Depressed
500,much hangov cost alcohol ,Not Depressed
501,tip bipolar disord ,Not Depressed
502,sign teen may use drug ,Not Depressed
503,maxim mental health coverag mentalhealth ,Not Depressed
504,child sex abus ,Not Depressed
505,benefit mental health first aid cours mentalhealth ,Not Depressed
506,shortag psychiatrist jail ,Not Depressed
507,differ sign teen adult depress ,Not Depressed
508,weed gateway drug ,Not Depressed
509,youth mental health elect issu mentalhealth ,Not Depressed
510,convers therapi ban obama administr ,Not Depressed
511,train prevent suicid ,Not Depressed
512,biophobia ,Not Depressed
513,safe awar ,Not Depressed
514,mani struggl tardi absente,Not Depressed
515,peopl find turn colleagu vent frustrat,Not Depressed
516,manag stress job,Not Depressed
517,afraid commit relationship ,Not Depressed
518,gratitud definit improv overal mood,Not Depressed
519,men arent dog truth ,Not Depressed
520,focu send posit impress receiv,Not Depressed
521,experi teen  drink made thing unmanag recoveri ,Not Depressed
522,goal today connect provid teach mind across world,Not Depressed
523,acknowledg strength help rais self esteem confid,Not Depressed
524,maintain good fit help emot awar ,Not Depressed
525,usual tend reli trust support,Not Depressed
526,learn work sick resent,Not Depressed
527,next time notic feel someon smile mind ,Not Depressed
528,way shine brightest today share love peac weve come know awar,Not Depressed
529,intend help trauma addict survivor live live worth live,Not Depressed
530,advic would give younger self could awar ,Not Depressed
531,imagin book readi next coupl month excit,Not Depressed
532,one thing love live come work everyday look forward help someon,Not Depressed
533,could see youv grown loss ,Not Depressed
534,feel less restrict work oppos work other entrepreneurship,Not Depressed
535,support encourag hear idea valu dream possibl,Not Depressed
536,earli rememb take thing one minut time na aa ,Not Depressed
537,would life like less anxieti,Not Depressed
538,would life like less anxieti,Not Depressed
539,anxieti delus ,Not Depressed
540,think high risk mental health problem mentalhealth,Not Depressed
541,higher risk mental health problem gay ,Not Depressed
542,improv parent,Not Depressed
543,ocd parent ,Not Depressed
544,helicopt parent helicopt parent,Not Depressed
545,helicopt parent ruin gener ,Not Depressed
546,often drive sleepi counsel,Not Depressed
547,mani young peopl drive sleepi counsel ,Not Depressed
548,difficulti child mealtim,Not Depressed
549,autism mealtim ,Not Depressed
550,talk openli man parent skill,Not Depressed
551,yoga improv parent ,Not Depressed
552,suspect men current life depress,Not Depressed
553,mani time marri marriag,Not Depressed
554,remarriag fail avoid marriag ,Not Depressed
555,think child addict smart phone,Not Depressed
556,children becom hunchback due smart phone addict ,Not Depressed
557,ever experienc bodi imag issu,Not Depressed
558,creat posit bodi imag ,Not Depressed
559,ever wit child anger problem,Not Depressed
560,concern individu resid residenti care facil abus,Not Depressed
561,disabl die residenti care facil ,Not Depressed
562,often take mental health day work mentalhealth selfcar,Not Depressed
563,take sick day your well mentalhealth ,Not Depressed
564,manag anger,Not Depressed
565,inner rage anger ,Not Depressed
566,tip parent children adhd,Not Depressed
567,parent children adhd ,Not Depressed
568,claim hospit bulli ,Not Depressed
569,surviv suicid attempt ,Not Depressed
570,bipolar choic ,Not Depressed
571,husband commit suicid week diagnos bipolar ,Not Depressed
572,women face abus onlin ,Not Depressed
573,emot journey wean babi breastfeed ,Not Depressed
574, mean latino ,Not Depressed
575,addict onlin fundrais ,Not Depressed
576,ever lost interest someth depress,Not Depressed
577,loss interest depress ,Not Depressed
578,ever check sex offend registri perpetr neighborhood,Not Depressed
579,protect child pedophil ,Not Depressed
580,mother drink alcohol pregnanc,Not Depressed
581,women drink alcohol pregnanc ,Not Depressed
582,trauma victim survivor,Not Depressed
583,inform trauma survivor ,Not Depressed
584,race thought impact life,Not Depressed
585,stop race thought ,Not Depressed
586,children inherit,Not Depressed
587,children inherit anxieti ,Not Depressed
588,know trauma survivor selfmed symptom street drug,Not Depressed
589,trauma substanc abus ,Not Depressed
590,sleep problem,Not Depressed
591,adult adhd,Not Depressed
592,got adult adhd ,Not Depressed
593,know anyon women experienc postpartum depress,Not Depressed
594,postpartum affect women think ,Not Depressed
595,ever suspect child abus notifi cp,Not Depressed
596,type child abus ,Not Depressed
597,know depress teen,Not Depressed
